x,Curve1
-1e-06,"0,000219"
"0,009641","0,004159"
"0,022246","0,008426"
"0,038699","0,011264"
"0,056801","0,013553"
"0,075452","0,015732"
"0,100029","0,018344"
"0,126367","0,019859"
"0,155337","0,02203"
"0,183728","0,024055"
"0,207419","0,025559"
"0,23581","0,026491"
"0,267042","0,027459"
"0,301667","0,028438"
"0,331634","0,02946"
"0,365943","0,029543"
"0,399174","0,029846"
"0,437975","0,029893"
"0,479597","0,029436"
"0,517733","0,028969"
"0,555447","0,027956"
"0,593009","0,026259"
"0,626431","0,025128"
"0,671961","0,022993"
"0,708049","0,020468"
"0,758757","0,01826"
"0,81824","0,015175"
"0,884588","0,010594"
"0,938601","0,006241"
"0,999924","0,000124"
