x,15deg,25deg
"3,9988","0,119724","0,31997"
"4,00181","0,119734","0,319983"
"4,51637","0,12141","0,322048"
"4,97162","0,123047","0,323358"
"4,99374","0,123098","0,323401"
"5,37565","0,123071","0,323868"
"5,81786","0,122609","0,324119"
"5,86106","0,122588","0,324156"
"6,21485","0,12258","0,324767"
"6,44899","0,122565","0,325406"
"6,63696","0,12255","0,325894"
"7,00882","0,122523","0,32663"
"7,02687","0,122514","0,326656"
"7,42088","0,122493","0,327015"
"7,66003","0,122974","0,327041"
"7,85303","0,123324","0,326961"
"8,28315","0,123292","0,326566"
"8,28519","0,123293","0,326564"
"8,77765","0,123688","0,326119"
"8,87612","0,123625","0,326093"
"9,18469","0,123228","0,326287"
"9,3535","0,123326","0,326489"
"9,59172","0,12363","0,326729"
"9,80576","0,123686","0,326887"
"9,98164","0,123603","0,326875"
"9,98368","0,123602","0,326873"
